timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663232043951,154,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-3,304,Not Modified,Thread Group 1-3,,true,,991,734,3,3,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663232043951,163,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-4,304,Not Modified,Thread Group 1-3,,true,,993,746,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663232043951,154,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-5,304,Not Modified,Thread Group 1-3,,true,,993,736,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663232043951,154,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-6,304,Not Modified,Thread Group 1-3,,true,,994,745,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663232043951,168,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-7,304,Not Modified,Thread Group 1-3,,true,,994,735,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663232044120,292,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Thread Group 1-3,,true,,1052,586,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663232044413,670,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,200,OK,Thread Group 1-3,text,true,,15170,634,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?offset=0&sortOrder=ASC&limit=50&sortField=employee.firstName&model=detailed&includeEmployees=onlyCurrent,669,0,0
1663232045083,309,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,200,OK,Thread Group 1-3,text,true,,1297,541,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,309,0,0
1663232045393,325,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,200,OK,Thread Group 1-3,text,true,,4694,532,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,325,0,0
1663232045719,318,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,200,OK,Thread Group 1-3,text,true,,2248,530,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,318,0,0
1663232039884,4524,Organizational Details,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group 1-2,,true,,79378,16127,3,3,null,0,13844,0
1663232043137,921,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule,200,OK,Thread Group 1-2,text,true,,16932,4651,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers,353,0,0
1663232043137,353,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-0,302,Found,Thread Group 1-2,text,true,,1695,600,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule,353,0,0
1663232043490,398,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-1,200,OK,Thread Group 1-2,text,true,,10272,600,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers,398,0,0
1663232043889,155,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-2,304,Not Modified,Thread Group 1-2,,true,,991,685,3,3,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663232043889,150,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-3,304,Not Modified,Thread Group 1-2,,true,,993,697,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663232043889,169,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-4,304,Not Modified,Thread Group 1-2,,true,,993,687,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663232043889,155,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-5,304,Not Modified,Thread Group 1-2,,true,,994,696,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663232043889,163,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewAdminModule-6,304,Not Modified,Thread Group 1-2,,true,,994,686,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663232044059,293,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Thread Group 1-2,,true,,1052,586,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663232044353,366,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/users?limit=50&offset=0&sortField=u.userName&sortOrder=ASC,200,OK,Thread Group 1-2,text,true,,7960,580,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/users?offset=0&sortOrder=ASC&limit=50&sortField=u.userName,366,0,0
1663232048412,773,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation,200,OK,Thread Group 1-2,text,true,,33023,4070,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation,595,0,0
1663232048412,596,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation-0,200,OK,Thread Group 1-2,text,true,,28058,619,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation,595,0,0
1663232049012,153,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation-1,304,Not Modified,Thread Group 1-2,,true,,991,685,3,3,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663232049012,173,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation-2,304,Not Modified,Thread Group 1-2,,true,,993,697,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663232049012,173,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation-3,304,Not Modified,Thread Group 1-2,,true,,993,687,3,3,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663232049012,153,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation-4,304,Not Modified,Thread Group 1-2,,true,,994,696,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663232049012,156,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewOrganizationGeneralInformation-5,304,Not Modified,Thread Group 1-2,,true,,994,686,3,3,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663232049186,326,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Thread Group 1-2,,true,,1052,586,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663232049512,327,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/organization,200,OK,Thread Group 1-2,text,true,,1317,472,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/organization,327,0,0
1663232056731,676,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure,200,OK,Thread Group 1-2,text,true,,15206,4056,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure,471,0,0
1663232056731,471,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure-0,200,OK,Thread Group 1-2,text,true,,10241,605,3,3,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure,471,0,0
1663232057205,202,https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewCompanyStructure-1,304,Not Modified,Thread Group 1-2,,true,,991,685,3,3,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
